company_name,founded_year,city,postcode_district,one_liner,primary_sector,university_affiliation,total_raised_gbp,num_funding_rounds,lead_investors,num_founders,founder_names,patents_filed,patents_granted,num_employees,annual_revenue_gbp,paying_customers,pilot_completed,peer_reviewed_research
HelixEdit Biotech,2019,Cambridge,CB2,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,London School of Economics,568000,2,Amadeus Capital Partners,1,Sophie Chen,0,0,20,0,0,Yes,Yes
PixelLens Systems,2022,Cambridge,CB3,Edge-deployed computer vision for construction safety compliance,Computer Vision,,993000,2,Cambridge Enterprise,2,Omar Zhang; Emily Jones,0,0,22,0,0,No,No
EigenEdge Systems,2021,Guildford,GU2,Quantum error correction middleware for NISQ hardware,Quantum Computing,London School of Economics,20000,0,,2,William MacLeod; Callum Kowalski,1,0,3,0,0,Yes,Yes
EcoFlux Energy,2018,Reading,RG2,Novel flow battery chemistry for long-duration energy storage,Renewable Energy & Storage,University of Cambridge,114000,1,Parkwalk Advisors; LocalGlobe,1,Alexander Williams,2,0,9,0,0,No,No
OrthoAid Medical,2018,Southampton,SO17,AI-powered wearable for continuous neurological monitoring,Medical Devices & Diagnostics,,777000,3,Innovate UK; Anthemis Group; Index Ventures,2,Mei Chen; Fraser Walsh,1,1,8,0,0,No,No
ActivWorks Automation,2020,Cambridge,CB4,Autonomous mobile robot platform for logistics logistics,Robotics & Automation,,2035000,3,Playfair Capital; Episode 1 Ventures; Anthemis Group,2,Samuel O'Brien; Olivia Williams,0,0,29,141000,19,Yes,No
FlowWorks Tech,2018,Liverpool,L1,Workflow automation platform for defence back-office operations,SaaS / Enterprise Software,,9000,1,Anthemis Group,3,Laura Jones; Mohammed Nielsen; Rahul Evans,0,0,2,0,0,Yes,No
VividSpace Tech,2019,Leicester,LE1,Hardware-software subscription for home defence management,Consumer Technology,Cardiff University,2354000,2,Cherry Ventures,2,Ethan Kumar; Angus Novak,0,0,39,78000,2,No,No
CardioSense Technologies,2020,Oxford,OX4,Non-invasive biosensor platform targeting respiratory management,Medical Devices & Diagnostics,King's College London,466000,2,Index Ventures,2,Arjun Evans; Mohammed Patel,0,0,7,170000,10,No,Yes
RetinaSight Systems,2021,Reading,RG2,Vision AI platform enabling autonomous agriculture monitoring,Computer Vision,Queen Mary University of London,42000,1,Seedcamp,3,Callum Taylor; George Sharma; William Kowalski,3,0,3,0,0,No,Yes
