rank,company_name,city,postcode_district,primary_sector,university_affiliation,total_raised_gbp,founder_names,filter_result,ip_score,founder_score,funding_score,poc_score,sector_score,final_score
1,TheraSeq Therapeutics,Oxford,OX4,Drug Discovery & Therapeutics,University of Oxford,112000,Emily Novak,Pass — Female Founder Override,10,10,10,8,10,97.0
2,OrthoScan Dx,Hertford,SG13,Medical Devices & Diagnostics,University College London,526000,Sian MacLeod,Pass — Female Founder Override,8,10,10,10,10,94.0
3,AlgoLayer Labs,Sheffield,S10,Machine Learning & AI,University of Glasgow,562000,Niamh Kumar; George Brown,Pass — Outside GT,10,7,10,10,10,92.5
4,NanoForm Engineering,Edinburgh,EH9,Materials Science & Engineering,University of Sheffield,571000,Ethan O'Connor; Charlotte O'Connor,Pass — Outside GT,10,7,10,10,8,90.5
5,EcoGen Energy,Exeter,EX4,Renewable Energy & Storage,University of Bath,313000,Ethan Williams; Oliver Kumar; Grace Campbell,Pass — Outside GT,10,7,10,10,8,90.5
6,HydroFlow Clean,Reading,RG1,Renewable Energy & Storage,Imperial College London,452000,William Patel; Brendan Sharma; Aisha McCarthy; Alexander Ali,Pass — Female Founder Override,10,10,10,5,8,90.5
7,TheraForge Rx,Sheffield,S3,Drug Discovery & Therapeutics,University of Southampton,743000,Harry O'Brien; Ananya Taylor,Pass — Outside GT,10,7,10,8,10,89.5
8,CogniInfer NLP,Southampton,SO17,Natural Language Processing,University of Leicester,635000,Wei Johansson; Rishi Ali,Pass — Outside GT,10,7,10,8,10,89.5
9,CogniFlow Intelligence,Cardiff,CF24,Machine Learning & AI,University of Bristol,314000,Rohan MacLeod; Patrick Müller; Omar Smith,Pass — Outside GT,10,7,10,7,10,88.0
10,NeuroForge Sciences,London,E1,Drug Discovery & Therapeutics,University of Oxford,635000,Olivia Wang; James MacLeod,Pass — Female Founder Override,10,10,10,2,10,88.0
11,RetinaLens Vision,Glasgow,G1,Computer Vision,University of Bath,483000,Patrick Brown,Pass — Outside GT,8,7,10,10,10,86.5
12,OncoPulse Dx,Liverpool,L69,Medical Devices & Diagnostics,University of Liverpool,530000,James Smith; Tariq Zhang,Pass — Outside GT,8,7,10,10,10,86.5
13,KineticWorks Automation,Leeds,LS6,Robotics & Automation,University of Bristol,198000,Samuel Nielsen; Nadia Kowalski; George Johansson,Pass — Outside GT,10,7,10,5,10,85.0
14,PlanckEdge Technologies,Leicester,LE1,Quantum Computing,University of Southampton,276000,Jack Sharma; Chloe Brown,Pass — Outside GT,10,7,10,5,10,85.0
15,LatticeEdge Sciences,Guildford,GU2,Quantum Computing,Imperial College London,722000,Kai Nielsen; Oliver Liu; Thomas Zhang; Shreya Nielsen,Pass — Female Founder Override,6,10,10,8,10,85.0
16,DermPulse Dx,Newcastle,NE1,Medical Devices & Diagnostics,University of Bristol,925000,Alexander Williams; Fraser O'Brien,Pass — Outside GT,10,7,6,10,10,84.5
17,NanoEdge Semiconductors,Guildford,GU1,Photonics & Semiconductors,London School of Economics,261000,Daniel Ahmed; Zara McCarthy,Pass — Female Founder Override,8,10,10,3,10,83.5
18,PulmoAid Medical,Cardiff,CF10,Medical Devices & Diagnostics,,393000,George Kowalski; Omar Ahmed; Vikram Ali; Ethan O'Connor,Pass — Outside GT,10,5,10,7,10,83.0
19,CellCraft Sciences,Manchester,M15,Genomics & Synthetic Biology,University of Exeter,50000,Jian Liu,Pass — Outside GT,10,7,10,5,8,83.0
20,CardioDiagnostics Health,Edinburgh,EH14,Medical Devices & Diagnostics,Heriot-Watt University,532000,Jack Liu; Jack Ali; Patrick Davies,Pass — Outside GT,8,7,10,7,10,82.0
21,NeuroTrack Medical,Southampton,SO14,Medical Devices & Diagnostics,University of Sheffield,441000,Anika Ali; Arjun Fitzgerald,Pass — Outside GT,10,7,10,3,10,82.0
22,AlgoSpark AI,Leeds,LS1,Machine Learning & AI,University of Warwick,50000,Rahul Chen; Vikram Ahmed; Patrick Ali,Pass — Outside GT,10,7,10,3,10,82.0
23,AutoArm Labs,Nottingham,NG7,Robotics & Automation,Durham University,788000,Omar Walsh; Bridget O'Brien; Leila McCarthy,Pass — Outside GT,10,7,6,8,10,81.5
24,AlgoNode Platform,London,E1,Machine Learning & AI,London School of Economics,553000,Laura Johansson; Thomas Nielsen; Samuel O'Brien,Pass — Female Founder Override,6,10,10,5,10,80.5
25,NeuroEdit Rx,Bristol,BS1,Drug Discovery & Therapeutics,Heriot-Watt University,528000,Fraser Novak; Jack Williams; Tariq Chen,Pass — Outside GT,10,7,10,2,10,80.5
